indicator,missing_share
poverty_215,0.6800307219662058
gini,0.6800307219662058
rnd_exp_pct_gdp,0.6210445468509984
hightech_exports_pct,0.5906298003072197
patent_apps_resident,0.5734254992319509
tertiary_enroll,0.4631336405529954
secondary_enroll,0.3937019969278034
fossil_fuel_pct,0.3445468509984639
gross_savings_pct_gdp,0.31889400921658984
energy_use_pc,0.3161290322580645
energy_intensity,0.3109062980030722
clean_cooking_access,0.3032258064516129
health_exp_pct_gdp,0.29923195084485404
ict_service_exports_pct,0.2858678955453149
gross_fixed_capital_pct_gdp,0.2500768049155146
gcf_pct_gdp,0.2248847926267281
gov_effectiveness,0.20614439324116743
regulatory_quality,0.20599078341013824
control_corruption,0.2010752688172043
political_stability,0.19278033794162827
trade_pct_gdp,0.1915514592933948
voice_accountability,0.1881720430107527
rule_of_law,0.18648233486943164
unemployment,0.13963133640552997
fdi_net_inflow_pct_gdp,0.12242703533026114
renew_share,0.11950844854070661
internet_users,0.11505376344086021
pm25_exposure,0.10906298003072197
gdp_pc_ppp_const,0.10061443932411675
elec_access,0.08878648233486944
co2_pc,0.06451612903225806
co2_total_mt,0.06451612903225806
gdp_growth,0.054531490015360985
life_expectancy,0.0004608294930875576
dependency_ratio,0.0
fertility_rate,0.0
population,0.0
urban_pct,0.0
